Ref,Val,Package,PosX,PosY,Rot,Side
"D31","LED_RBAG","NHB2020RGBAHF",185.074985,-112.050903,90.000000,top
"D32","LED_RBAG","NHB2020RGBAHF",185.074985,-108.050904,90.000000,top
"D33","LED_RBAG","NHB2020RGBAHF",189.074987,-128.050905,90.000000,top
"D34","LED_RBAG","NHB2020RGBAHF",189.074986,-124.050906,90.000000,top
"D35","LED_RBAG","NHB2020RGBAHF",189.074987,-120.050904,90.000000,top
"D36","LED_RBAG","NHB2020RGBAHF",189.074987,-116.050905,90.000000,top
"D37","LED_RBAG","NHB2020RGBAHF",189.074984,-112.050903,90.000000,top
"D38","LED_RBAG","NHB2020RGBAHF",189.074984,-108.050904,90.000000,top
"D39","LED_RBAG","NHB2020RGBAHF",193.074985,-128.050905,90.000000,top
"D40","LED_RBAG","NHB2020RGBAHF",193.074986,-124.050904,90.000000,top
"D41","LED_RBAG","NHB2020RGBAHF",193.074986,-120.050904,90.000000,top
"D42","LED_RBAG","NHB2020RGBAHF",193.074986,-116.050905,90.000000,top
"D43","LED_RBAG","NHB2020RGBAHF",193.074986,-112.050905,90.000000,top
"D44","LED_RBAG","NHB2020RGBAHF",193.074984,-108.050904,90.000000,top
"D45","LED_RBAG","NHB2020RGBAHF",197.074986,-128.050903,90.000000,top
"D46","LED_RBAG","NHB2020RGBAHF",197.074986,-124.050904,90.000000,top
"D47","LED_RBAG","NHB2020RGBAHF",197.074988,-120.050904,90.000000,top
"D48","LED_RBAG","NHB2020RGBAHF",197.074986,-116.050905,90.000000,top
"D49","LED_RBAG","NHB2020RGBAHF",197.074987,-112.050905,90.000000,top
"D50","LED_RBAG","NHB2020RGBAHF",197.074986,-108.050906,90.000000,top
"D51","LED_RBAG","NHB2020RGBAHF",201.074985,-128.050903,90.000000,top
"D52","LED_RBAG","NHB2020RGBAHF",201.074985,-124.050904,90.000000,top
"D53","LED_RBAG","NHB2020RGBAHF",201.074985,-120.050904,90.000000,top
"D54","LED_RBAG","NHB2020RGBAHF",201.074985,-116.050905,90.000000,top
"D55","LED_RBAG","NHB2020RGBAHF",201.074985,-112.050905,90.000000,top
"D56","LED_RBAG","NHB2020RGBAHF",201.074985,-108.050904,90.000000,top
"D57","LED_RBAG","NHB2020RGBAHF",205.074984,-128.050903,90.000000,top
"D58","LED_RBAG","NHB2020RGBAHF",205.074984,-124.050904,90.000000,top
"D59","LED_RBAG","NHB2020RGBAHF",205.074983,-120.050904,90.000000,top
"D60","LED_RBAG","NHB2020RGBAHF",205.074984,-116.050905,90.000000,top
"D61","LED_RBAG","NHB2020RGBAHF",205.074987,-112.050905,90.000000,top
"D62","LED_RBAG","NHB2020RGBAHF",205.074986,-108.050906,90.000000,top
"D63","LED_RBAG","NHB2020RGBAHF",209.074986,-128.050905,90.000000,top
"D64","LED_RBAG","NHB2020RGBAHF",209.074984,-124.050904,90.000000,top
"D65","LED_RBAG","NHB2020RGBAHF",209.074984,-120.050904,90.000000,top
"D66","LED_RBAG","NHB2020RGBAHF",209.074985,-116.050905,90.000000,top
"D67","LED_RBAG","NHB2020RGBAHF",209.074985,-112.050905,90.000000,top
"D68","LED_RBAG","NHB2020RGBAHF",209.074986,-108.050904,90.000000,top
"D69","LED_RBAG","NHB2020RGBAHF",169.074985,-104.050904,90.000000,top
"D70","LED_RBAG","NHB2020RGBAHF",169.074985,-100.050902,90.000000,top
"D71","LED_RBAG","NHB2020RGBAHF",169.074985,-96.050903,90.000000,top
"D72","LED_RBAG","NHB2020RGBAHF",169.074985,-92.050904,90.000000,top
"D73","LED_RBAG","NHB2020RGBAHF",169.074985,-88.050904,90.000000,top
"D74","LED_RBAG","NHB2020RGBAHF",169.074985,-84.050905,90.000000,top
"D75","LED_RBAG","NHB2020RGBAHF",173.074987,-104.050904,90.000000,top
"D76","LED_RBAG","NHB2020RGBAHF",173.074987,-100.050905,90.000000,top
"D77","LED_RBAG","NHB2020RGBAHF",173.074984,-96.050903,90.000000,top
"D78","LED_RBAG","NHB2020RGBAHF",173.074984,-92.050904,90.000000,top
"D79","LED_RBAG","NHB2020RGBAHF",173.074983,-88.050904,90.000000,top
"D80","LED_RBAG","NHB2020RGBAHF",173.074984,-84.050905,90.000000,top
"D81","LED_RBAG","NHB2020RGBAHF",177.074986,-104.050904,90.000000,top
"D82","LED_RBAG","NHB2020RGBAHF",177.074986,-100.050905,90.000000,top
"D83","LED_RBAG","NHB2020RGBAHF",177.074986,-96.050905,90.000000,top
"D84","LED_RBAG","NHB2020RGBAHF",177.074984,-92.050904,90.000000,top
"D85","LED_RBAG","NHB2020RGBAHF",177.074984,-88.050904,90.000000,top
"D86","LED_RBAG","NHB2020RGBAHF",177.074985,-84.050905,90.000000,top
"D87","LED_RBAG","NHB2020RGBAHF",181.074988,-104.050904,90.000000,top
"D88","LED_RBAG","NHB2020RGBAHF",181.074986,-100.050905,90.000000,top
"D89","LED_RBAG","NHB2020RGBAHF",181.074987,-96.050905,90.000000,top
"D90","LED_RBAG","NHB2020RGBAHF",181.074986,-92.050906,90.000000,top
"D91","LED_RBAG","NHB2020RGBAHF",181.074986,-88.050904,90.000000,top
"D92","LED_RBAG","NHB2020RGBAHF",181.074986,-84.050905,90.000000,top
"D93","LED_RBAG","NHB2020RGBAHF",185.074985,-104.050904,90.000000,top
"D94","LED_RBAG","NHB2020RGBAHF",185.074985,-100.050905,90.000000,top
"D95","LED_RBAG","NHB2020RGBAHF",185.074985,-96.050905,90.000000,top
"D96","LED_RBAG","NHB2020RGBAHF",185.074985,-92.050904,90.000000,top
"D97","LED_RBAG","NHB2020RGBAHF",185.074985,-88.050904,90.000000,top
"D98","LED_RBAG","NHB2020RGBAHF",185.074985,-84.050902,90.000000,top
"D99","LED_RBAG","NHB2020RGBAHF",189.074983,-104.050904,90.000000,top
"D100","LED_RBAG","NHB2020RGBAHF",189.074984,-100.050905,90.000000,top
"D101","LED_RBAG","NHB2020RGBAHF",189.074987,-96.050905,90.000000,top
"D102","LED_RBAG","NHB2020RGBAHF",189.074986,-92.050906,90.000000,top
"D103","LED_RBAG","NHB2020RGBAHF",189.074987,-88.050904,90.000000,top
"D104","LED_RBAG","NHB2020RGBAHF",189.074987,-84.050905,90.000000,top
"D105","LED_RBAG","NHB2020RGBAHF",193.074984,-104.050904,90.000000,top
"D106","LED_RBAG","NHB2020RGBAHF",193.074985,-100.050905,90.000000,top
"D107","LED_RBAG","NHB2020RGBAHF",193.074985,-96.050905,90.000000,top
"D108","LED_RBAG","NHB2020RGBAHF",193.074986,-92.050904,90.000000,top
"D109","LED_RBAG","NHB2020RGBAHF",193.074986,-88.050904,90.000000,top
"D110","LED_RBAG","NHB2020RGBAHF",193.074986,-84.050905,90.000000,top
"D111","LED_RBAG","NHB2020RGBAHF",197.074986,-104.050904,90.000000,top
"D112","LED_RBAG","NHB2020RGBAHF",197.074986,-100.050905,90.000000,top
"D113","LED_RBAG","NHB2020RGBAHF",197.074986,-96.050903,90.000000,top
"D114","LED_RBAG","NHB2020RGBAHF",197.074986,-92.050904,90.000000,top
"D115","LED_RBAG","NHB2020RGBAHF",197.074988,-88.050904,90.000000,top
"D116","LED_RBAG","NHB2020RGBAHF",197.074986,-84.050905,90.000000,top
"D117","LED_RBAG","NHB2020RGBAHF",201.074985,-104.050904,90.000000,top
